채수량,PH,전도도,경도,재생횟수,염산,가성소다
467,7,295,83,34,320,261
489,7.3,247,93,32,340,263
476,7.1,272,88,27,340,276
471,7.5,327,74,21,303,255
672,7.2,163,52,14,280,285
903,7.2,152,56,17,280,246
1051,7.2,116,46,16,280,240
1009,6.9,137,50,13,332,240
942,7.3,142,57,8,364,269
1015,7.5,138,51,10,310,240
760,7.5,185,64,14,366,263
658,7.2,233,70,20,340,244
634,7.2,228,65,24,323,250
562,7.1,218,48,21,330,264
658,7,235,57,16,301,336
635,7.1,220,54,8,320,317
