data
47.2
47.8
47.6
45.8
47.9
48.1
48
48.3
48.5
47
47.9
46.4
47
48
49.6
48.8
48.7
48
48.5
48.6
53.3
49.1
48.1
47.7
49.3
48.4
46.4
50.8
48.3
47
48.5
47.9
48.8
49
50
49.1
49.9
47.4
46.9
47.1
49.2
47.7
48.4
48.9
48.1
49.6
47.4
48
49.2
48.8
49.2
49.2
47.9
48
47.9
48.9
48.3
48.4
48.5
47.4
48.2
48.4
48.1
48.8
46.8
48.1
48.6
45.5
48.9
47.9
48.4
48
50
47.5
47.7
47.8
46.5
48.1
48.8
47.5
48.6
48.1
47.9
47.4
49.6
49.7
46.8
47.3
49.4
47.7
47.9
48
48.2
46.8
49.5
47.7
46
46.6
48.6
48.7
